,brewery_id,name,city,state,lat,lon,geometry
215,215,Texian Brewing Co.,Richmond,TX,29.5821811,-95.7607832,POINT (-95.76078320000001 29.5821811)
216,216,Orpheus Brewing,Atlanta,GA,33.7489954,-84.3879824,POINT (-84.3879824 33.7489954)
217,217,Forgotten Boardwalk,Cherry Hill,NJ,39.9348351,-75.0307264,POINT (-75.03072640000001 39.9348351)
218,218,Laughing Dog Brewing Company,Ponderay,ID,48.3054806,-116.5338037,POINT (-116.5338037 48.3054806)
219,219,Bozeman Brewing Company,Bozeman,MT,45.6796526,-111.0385582,POINT (-111.0385582 45.6796526)
220,220,Big Choice Brewing,Broomfield,CO,39.9205411,-105.0866504,POINT (-105.0866504 39.9205411)
221,221,Big Storm Brewing Company,Odessa,FL,28.1939007,-82.5917642,POINT (-82.5917642 28.1939007)
222,222,Carton Brewing Company,Atlantic Highlands,NJ,40.4078865,-74.034306,POINT (-74.034306 40.4078865)
223,223,Midnight Sun Brewing Company,Anchorage,AK,61.2180556,-149.9002778,POINT (-149.9002778 61.2180556)
224,224,Fat Head's Brewery,Middleburg Heights,OH,41.3614401,-81.812912,POINT (-81.812912 41.3614401)
225,225,Refuge Brewery,Temecula,CA,33.4936391,-117.1483648,POINT (-117.1483648 33.4936391)
226,226,Chatham Brewing,Chatham,NY,40.7409341,-74.3837624,POINT (-74.38376239999999 40.7409341)
227,227,DC Brau Brewing Company,Washington,DC,38.8951118,-77.0363658,POINT (-77.0363658 38.8951118)
228,228,Geneva Lake Brewing Company,Lake Geneva,WI,42.5650143,-88.5037547,POINT (-88.5037547 42.5650143)
229,229,Rochester Mills Brewing Company,Rochester,MI,42.680588,-83.1338214,POINT (-83.1338214 42.680588)
230,230,Cape Ann Brewing Company,Gloucester,MA,42.61405,-70.66313,POINT (-70.66313 42.61405)
231,231,Borderlands Brewing Company,Tucson,AZ,32.2217429,-110.926479,POINT (-110.926479 32.2217429)
232,232,College Street Brewhouse and Pub,Lake Havasu City,AZ,34.483901,-114.3224548,POINT (-114.3224548 34.483901)
233,233,Joseph James Brewing Company,Henderson,NV,36.21519630845164,-115.01356105204516,POINT (-115.0135610520452 36.21519630845164)
234,234,Harpoon Brewery,Boston,MA,42.3584308,-71.0597732,POINT (-71.0597732 42.3584308)
235,235,Back East Brewing Company,Bloomfield,CT,41.826488,-72.7300945,POINT (-72.73009450000001 41.826488)
236,236,Champion Brewing Company,Charlottesville,VA,38.0293059,-78.4766781,POINT (-78.4766781 38.0293059)
237,237,Devil's Backbone Brewing Company,Lexington,VA,37.77309,-79.45244,POINT (-79.45244 37.77309)
238,238,Newburgh Brewing Company,Newburgh,NY,41.5034271,-74.0104179,POINT (-74.01041789999999 41.5034271)
239,239,Wiseacre Brewing Company,Memphis,TN,35.1495343,-90.0489801,POINT (-90.04898009999999 35.1495343)
240,240,Golden Road Brewing,Los Angeles,CA,34.0522342,-118.2436849,POINT (-118.2436849 34.0522342)
241,241,New Republic Brewing Company,College Station,TX,30.627977,-96.3344068,POINT (-96.3344068 30.627977)
242,242,Infamous Brewing Company,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
243,243,Two Henrys Brewing Company,Plant City,FL,28.01888,-82.11469,POINT (-82.11469 28.01888)
244,244,Lift Bridge Brewing Company,Stillwater,MN,45.0563558,-92.8060408,POINT (-92.80604080000001 45.0563558)
245,245,Lucky Town Brewing Company,Jackson,MS,32.2987573,-90.1848103,POINT (-90.1848103 32.2987573)
246,246,Quest Brewing Company,Greenville,SC,34.8526176,-82.3940105,POINT (-82.39401049999999 34.8526176)
247,247,Creature Comforts,Athens,GA,33.960948,-83.3779358,POINT (-83.3779358 33.960948)
248,248,Half Full Brewery,Stamford,CT,41.0534302,-73.5387341,POINT (-73.5387341 41.0534302)
249,249,Southampton Publick House,Southampton,NY,40.884267,-72.3895296,POINT (-72.3895296 40.884267)
250,250,Chapman's Brewing,Angola,IN,41.64386786839968,-85.00076485073735,POINT (-85.00076485073735 41.64386786839968)
251,251,Barrio Brewing Company,Tucson,AZ,32.2217429,-110.926479,POINT (-110.926479 32.2217429)
252,252,Santa Cruz Mountain Brewing,Santa Cruz,CA,36.9741171,-122.0307963,POINT (-122.0307963 36.9741171)
253,253,Frankenmuth Brewery,Frankenmuth,MI,43.331691,-83.7380194,POINT (-83.7380194 43.331691)
254,254,Meckley's Cidery,Somerset Center,MI,42.0511543,-84.4135604,POINT (-84.41356039999999 42.0511543)
255,255,Stillwater Artisanal Ales,Baltimore,MD,39.2903848,-76.6121893,POINT (-76.6121893 39.2903848)
256,256,Finch's Beer Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
257,257,South Austin Brewery,South Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
258,258,Bauhaus Brew Labs,Minneapolis,MN,44.9799654,-93.2638361,POINT (-93.26383610000001 44.9799654)
259,259,Ozark Beer Company,Rogers,AR,36.3320197,-94.1185366,POINT (-94.1185366 36.3320197)
260,260,Mountain Town Brewing Company ,Mount Pleasant,MI,43.5978075,-84.7675139,POINT (-84.7675139 43.5978075)
261,261,Otter Creek Brewing,Waterbury,VT,44.3378343,-72.756229,POINT (-72.756229 44.3378343)
262,262,The Brewer's Art,Baltimore,MD,39.2903848,-76.6121893,POINT (-76.6121893 39.2903848)
263,263,Denver Beer Company,Denver,CO,39.7391536,-104.9847034,POINT (-104.9847034 39.7391536)
264,264,Ska Brewing Company,Durango,CO,37.27528,-107.8800667,POINT (-107.8800667 37.27528)
265,265,Tractor Brewing Company,Albuquerque,NM,35.0844909,-106.6511367,POINT (-106.6511367 35.0844909)
266,266,Peak Organic Brewing Company,Portland,ME,43.65737,-70.2589,POINT (-70.2589 43.65737)
267,267,Cape Cod Beer,Hyannis,MA,41.6528887,-70.2827989,POINT (-70.2827989 41.6528887)
268,268,Long Trail Brewing Company,Bridgewater Corners,VT,43.5884026,-72.6559308,POINT (-72.65593079999999 43.5884026)
269,269,Great Raft Brewing Company,Shreveport,LA,32.5251516,-93.7501789,POINT (-93.75017889999999 32.5251516)
270,270,Alaskan Brewing Company,Juneau,AK,58.3019444,-134.4197222,POINT (-134.4197222 58.3019444)
271,271,Notch Brewing Company,Ipswich,MA,42.6792602,-70.8411612,POINT (-70.8411612 42.6792602)
272,272,The Alchemist,Waterbury,VT,44.3378343,-72.756229,POINT (-72.756229 44.3378343)
273,273,Three Notch'd Brewing Company,Charlottesville,VA,38.0293059,-78.4766781,POINT (-78.4766781 38.0293059)
274,274,Portside Brewery,Cleveland,OH,41.4994954,-81.6954088,POINT (-81.6954088 41.4994954)
275,275,Otter Creek Brewing,Middlebury,VT,44.01553,-73.16937,POINT (-73.16937 44.01553)
276,276,Montauk Brewing Company,Montauk,NY,41.0764906,-71.9200689,POINT (-71.9200689 41.0764906)
277,277,Indeed Brewing Company,Minneapolis,MN,44.9799654,-93.2638361,POINT (-93.26383610000001 44.9799654)
278,278,Berkshire Brewing Company,South Deerfield,MA,42.4773097,-72.6078667,POINT (-72.6078667 42.4773097)
279,279,Foolproof Brewing Company,Pawtucket,RI,41.878711,-71.3825558,POINT (-71.38255580000001 41.878711)
280,280,Headlands Brewing Company,Mill Valley,CA,37.9060368,-122.5449763,POINT (-122.5449763 37.9060368)
281,281,Bolero Snort Brewery,Ridgefield Park,NJ,40.8570442,-74.0215285,POINT (-74.0215285 40.8570442)
282,282,Thunderhead Brewing Company,Kearney,NE,40.5067072,-98.9480216,POINT (-98.9480216 40.5067072)
283,283,Defiance Brewing Company,Hays,KS,38.8791783,-99.3267702,POINT (-99.3267702 38.8791783)
284,284,Milwaukee Brewing Company,Milwaukee,WI,43.0389025,-87.9064736,POINT (-87.9064736 43.0389025)
285,285,Catawba Island Brewing,Port Clinton,OH,39.5520056,-83.786314,POINT (-83.786314 39.5520056)
286,286,Back Forty Beer Company,Gadsden,AL,34.01434,-86.00639,POINT (-86.00639 34.01434)
287,287,Four Corners Brewing Company,Dallas,TX,32.7830556,-96.8066667,POINT (-96.80666669999999 32.7830556)
288,288,Saint Archer Brewery,San Diego,CA,32.71571,-117.16472,POINT (-117.16472 32.71571)
289,289,Rogue Ales,Newport,OR,44.57984,-124.0581737,POINT (-124.0581737 44.57984)
290,290,Hale's Ales,Seattle,WA,47.6062095,-122.3320708,POINT (-122.3320708 47.6062095)
291,291,Tommyknocker Brewery,Idaho Springs,CO,39.7424881,-105.5136082,POINT (-105.5136082 39.7424881)
292,292,Baxter Brewing Company,Lewiston,ME,44.100351,-70.2147764,POINT (-70.21477640000001 44.100351)
293,293,Northampton Brewery,Northampton,MA,42.3250896,-72.6412013,POINT (-72.64120130000001 42.3250896)
294,294,Black Shirt Brewing Company,Denver,CO,39.7391536,-104.9847034,POINT (-104.9847034 39.7391536)
295,295,Wachusett Brewing Company,Westminster,MA,39.5753791,-76.9958149,POINT (-76.9958149 39.5753791)
296,296,Widmer Brothers Brewing Company,Portland,OR,45.5234515,-122.6762071,POINT (-122.6762071 45.5234515)
297,297,Hop Farm Brewing Company,Pittsburgh,PA,40.4406248,-79.9958864,POINT (-79.9958864 40.4406248)
298,298,Liquid Hero Brewery,York,PA,40.6501038,-73.9495823,POINT (-73.9495823 40.6501038)
299,299,Matt Brewing Company,Utica,NY,43.1009031,-75.2326641,POINT (-75.23266409999999 43.1009031)
300,300,Boston Beer Company,Boston,MA,42.3584308,-71.0597732,POINT (-71.0597732 42.3584308)
